Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB WRitten,Total Logical Size in  Gib,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
Executive,kView,,11292021,Savage_replicate,14,No extended retention,['Executive'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Finance,kView,,11292021,Savage_replicate,14,No extended retention,['Finance'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Governanace,kView,,11292021,Savage_replicate,14,No extended retention,['Governanace'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
IntOps,kView,,11292021,Savage_replicate,14,No extended retention,['IntOps'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
IT,kView,,11292021,Savage_replicate,14,No extended retention,['IT'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
admin-Phoenix,kView,,11292021,Savage_replicate,14,No extended retention,['admin-Phoenix'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Public,kView,,11292021,Savage_replicate,14,No extended retention,['Public'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Risk-Compliance,kView,,11292021,Savage_replicate,14,No extended retention,['Risk-Compliance'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Security-Guards,kView,,11292021,Savage_replicate,14,No extended retention,['Security-Guards'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Underwriting,kView,,11292021,Savage_replicate,14,No extended retention,['Underwriting'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
users,kView,,11292021,Savage_replicate,14,No extended retention,['users'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
dttc_test3,kPhysical,,11292021,Bronze,30,90,['10.26.1.78'],False,11-28-2021 15:14:00,11-28-2021 15:25:13,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 15:14:01
WinDevtest,kPhysical,,11292021,Protect Once,14,No extended retention,['10.26.0.91'],False,11-24-2021 04:00:33,11-24-2021 04:08:43,19.865535736083984,0.4516405332833528,99.9970703125,No Replicatoin Cluster,kSuccess,No Previous Run Found,
Test,kPhysical,,11292021,Bronze,30,90,['10.26.0.91'],False,11-29-2021 05:13:00,11-29-2021 05:14:08,0.614990234375,0.1877776114270091,99.9970703125,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 05:13:02
testDevShare0,kIsilon,,11292021,COLO-SMB_DS_DAILY,14,No extended retention,['/ifs/testDev/testDev0'],False,11-29-2021 06:57:13,11-29-2021 07:06:00,2.829357981681824e-05,1.0058283805847168e-05,4.244036972522736e-05,No Replicatoin Cluster,kSuccess,kCanceled,11-29-2021 06:52:44
viewDevProtect,kView,,11292021,viewDevPolicy,14,No extended retention,['viewDev'],False,11-29-2021 04:00:00,11-29-2021 04:00:04,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,No Previous Run Found,
